id,texto,target
1,A moça caminhou devagar no fundo do terreno. Levava um caderno e seguiu tranquilo.,baixa
2,A professora contou uma história na sala clara. O dia estava calmo.,baixa
3,"A casa, descrita como abrigo, converte-se lentamente em arquivo de ausências. Nesse arranjo, a subjetividade simbólica amplifica a identidade subterrânea do conflito. O resultado é uma experiência de leitura marcada por ambivalência, abstração e reconstrução constante de sentidos.",alta
4,"Na praça, os bancos vazios pareciam guardar conversas interrompidas. Porque a memória ainda lhe parecia incompleta, a professora da vila hesitou antes de responder ao chamado mas notou que algo havia se quebrado entre eles. A partir daquele instante, sua decisão pareceu menos simples. Assim, o texto mantém fluidez, mas exige atenção às relações entre os acontecimentos.",media
5,"Porque a repetição transforma o detalhe cotidiano em indício crítico, a violência polifônica reconfigura a ancestralidade insubmissa que sustenta o relato. O retrato familiar interrompe a narrativa e impõe uma ética da recordação. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas. Essa estratégia impede uma decodificação imediata e obriga o leitor a rever o estatuto de cada imagem.",alta
6,"O pai escreveu um bilhete perto do rio no começo da noite. Depois, respirou fundo.",baixa
7,"ao fim da tarde, a menina encontrou um pão quente diante da casa e ficou em silêncio.",baixa
8,"Durante a viagem, a família inteira aceitou voltar ao lugar de onde partira, sem saber se deveria confiar no próprio julgamento. Com isso, o conflito deixou de ser apenas familiar e ganhou outra profundidade.",media
9,"Entre a culpa lacunar e a fragmentação polifônica, a narrativa revela a causalidade linear dos acontecimentos. A carta, ao mesmo tempo prova e enigma, desmonta a confiança na memória narrada. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior. A instabilidade resultante amplia o custo interpretativo sem reduzir a coerência estética do conjunto.",alta
10,"no sábado, o vendedor encontrou uma carta azul na cozinha e seguiu tranquilo.",baixa
11,"As janelas abertas deixavam entrar o vento e também algumas lembranças. A narradora entendeu que a festa tinha um significado diferente, mas cada resposta encontrada criava outra dúvida. Com isso, o conflito deixou de ser apenas familiar e ganhou outra profundidade.",media
12,A moça caminhou devagar sob a árvore. Levava um pão quente e ficou mais calmo.,baixa
13,"A personagem entendeu que a festa tinha um significado diferente; como se cada gesto repetisse uma lembrança antiga, a verdade parecia depender de detalhes esquecidos. O mercado fechava cedo, deixando a rua com um silêncio incomum. Assim, o texto mantém fluidez, mas exige atenção às relações entre os acontecimentos.",media
14,"A memória intermitente, longe de funcionar como ornamento, desestabiliza o sentido moral que parecia organizar a cena. Ao converter a lembrança individual em sintoma de uma perda coletiva, cada detalhe passa a operar como vestígio. A interpretação se constrói por aproximações, pois cada evidência desloca a hipótese anterior.",alta
15,"O rapaz que sonhava partir observou a mudança no comportamento da família; porque a memória ainda lhe parecia incompleta, a verdade parecia depender de detalhes esquecidos. O retrato na parede parecia observar cada movimento da família. Essa passagem aproxima lembrança, escolha e consequência sem abandonar a clareza narrativa.",media
16,"A ressentimento paradoxal, longe de funcionar como ornamento, dobra a fronteira entre lembrança e invenção. Como se a frase recusasse concluir aquilo que ela própria convoca, cada detalhe passa a operar como vestígio. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa.",alta
17,"A personagem entendeu que a festa tinha um significado diferente, sem saber se deveria confiar no próprio julgamento, e essa hesitação tornou a cena mais difícil de explicar. A cena mostrou que o afeto também podia carregar ressentimento.",media
18,"Porque a repetição transforma o detalhe cotidiano em indício crítico, a opacidade intermitente subverte a espera lacunar que sustenta o relato. A casa, descrita como abrigo, converte-se lentamente em arquivo de ausências. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. O efeito crítico nasce justamente da fricção entre enredo, imagem e pressuposto histórico.",alta
19,"A voz narrativa, marcada por uma ruína dissonante, reconfigura o sentido moral que parecia organizar a cena, mesmo quando a ação externa permanece quase imóvel. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. Nesse movimento, a obra converte ambiguidade formal em exigência cognitiva.",alta
20,"Na praça, os bancos vazios pareciam guardar conversas interrompidas. Apesar de todos fingirem tranquilidade, a jovem costureira recordou uma promessa feita muitos anos antes então compreendeu a tristeza escondida na cena. O gesto pequeno revelou uma tensão que todos tentavam esconder.",media
21,"Ao organizar a cena em torno da ancestralidade ritualizada, o narrador subverte a relação entre experiência privada e história coletiva. À medida que o passado se infiltra na sintaxe do presente, o sentido se torna provisório. A cena demanda atenção às marcas de focalização, aos vazios discursivos e às tensões históricas sugeridas. A leitura, portanto, depende de operações simultâneas de síntese, comparação e inferência.",alta
22,"O conflito não se apresenta diretamente; ele emerge quando a alteridade simbólica desloca a subjetividade fantasmática. A chuva não atua apenas como cenário, mas como mecanismo de apagamento e retorno. O leitor precisa recompor relações implícitas entre motivo, consequência e perspectiva narrativa. O efeito crítico nasce justamente da fricção entre enredo, imagem e pressuposto histórico.",alta
23,"A casa permanecia iluminada, mesmo depois que todos se recolhiam. Apesar de todos fingirem tranquilidade, a mulher que voltava da feira releu o bilhete encontrado na gaveta então guardou o papel no bolso do casaco. A cena mostrou que o afeto também podia carregar ressentimento.",media
