slug,title,author,work,source,source_id,record_url,text_url,url,language,genre,original_year,literary_period,expected_complexity_profile,dataset_priority,methodological_notes,license_notes
memorias_posthumas_braz_cubas,Memórias Póstumas de Brás Cubas,Machado de Assis,Memórias Póstumas de Brás Cubas,Project Gutenberg,54829,https://www.gutenberg.org/ebooks/54829,https://www.gutenberg.org/ebooks/54829.txt.utf-8,https://www.gutenberg.org/ebooks/54829.txt.utf-8,pt,romance,1881,realismo,alta,Principal,"Narrativa em primeira pessoa, ironia, digressões e reflexão moral; boa fonte para trechos médios e altos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
dom_casmurro,Dom Casmurro,Machado de Assis,Dom Casmurro,Project Gutenberg,55752,https://www.gutenberg.org/ebooks/55752,https://www.gutenberg.org/ebooks/55752.txt.utf-8,https://www.gutenberg.org/ebooks/55752.txt.utf-8,pt,romance,1899,realismo,alta,Principal,"Narrador memorialista e ambíguo; útil para trechos com memória, subjetividade e interpretação implícita.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
quincas_borba,Quincas Borba,Machado de Assis,Quincas Borba,Project Gutenberg,55682,https://www.gutenberg.org/ebooks/55682,https://www.gutenberg.org/ebooks/55682.txt.utf-8,https://www.gutenberg.org/ebooks/55682.txt.utf-8,pt,romance,1891,realismo,alta,Principal,Ironia filosófica e crítica social; útil para trechos reflexivos e ambíguos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
helena,Helena,Machado de Assis,Helena,Project Gutenberg,67162,https://www.gutenberg.org/ebooks/67162,https://www.gutenberg.org/ebooks/67162.txt.utf-8,https://www.gutenberg.org/ebooks/67162.txt.utf-8,pt,romance,1876,romantismo_realismo_inicial,media,Complementar,"Romance de transição; útil para trechos narrativos, familiares e de conflito moral moderado.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
esau_e_jacob,Esaú e Jacob,Machado de Assis,Esaú e Jacob,Project Gutenberg,56737,https://www.gutenberg.org/ebooks/56737,https://www.gutenberg.org/ebooks/56737.txt.utf-8,https://www.gutenberg.org/ebooks/56737.txt.utf-8,pt,romance,1904,realismo,alta,Principal,Narrativa com mediação irônica e tensão interpretativa; boa fonte para alta complexidade.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
papeis_avulsos,Papéis Avulsos,Machado de Assis,Papéis Avulsos,Project Gutenberg,57001,https://www.gutenberg.org/ebooks/57001,https://www.gutenberg.org/ebooks/57001.txt.utf-8,https://www.gutenberg.org/ebooks/57001.txt.utf-8,pt,contos,1882,realismo,alta,Principal,"Contos com ironia, alegoria e experimentação narrativa; bom para variação de trechos curtos e densos.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
historias_sem_data,Histórias sem Data,Machado de Assis,Histórias sem Data,Project Gutenberg,33056,https://www.gutenberg.org/ebooks/33056,https://www.gutenberg.org/ebooks/33056.txt.utf-8,https://www.gutenberg.org/ebooks/33056.txt.utf-8,pt,contos,1884,realismo,alta,Principal,Contos com ambiguidade e observação social; útil para trechos médios e altos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
memorial_de_ayres,Memorial de Ayres,Machado de Assis,Memorial de Ayres,Project Gutenberg,55797,https://www.gutenberg.org/ebooks/55797,https://www.gutenberg.org/ebooks/55797.txt.utf-8,https://www.gutenberg.org/ebooks/55797.txt.utf-8,pt,romance,1908,realismo,media_alta,Principal,"Forma memorialística e introspectiva; útil para memória, passagem do tempo e subjetividade.",Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
a_mao_e_a_luva,A Mão e a Luva,Machado de Assis,A Mão e a Luva,Project Gutenberg,53101,https://www.gutenberg.org/ebooks/53101,https://www.gutenberg.org/ebooks/53101.txt.utf-8,https://www.gutenberg.org/ebooks/53101.txt.utf-8,pt,romance,1874,romantismo_realismo_inicial,media,Complementar,Romance de intriga social e psicológica moderada; útil para classe média.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
yaya_garcia,Yayá Garcia,Machado de Assis,Yayá Garcia,Project Gutenberg,67780,https://www.gutenberg.org/ebooks/67780,https://www.gutenberg.org/ebooks/67780.txt.utf-8,https://www.gutenberg.org/ebooks/67780.txt.utf-8,pt,romance,1878,romantismo_realismo_inicial,media,Complementar,Conflito familiar e sentimental; útil para trechos médios e narrativos.,Domínio público nos EUA conforme Project Gutenberg; verificar legislação local.
